time,entity_id,entity_name,node_id,node_name,event_type
0.00,0,发生器-cargo-0,Event_start,发生器,entity_generated
0.00,0,发生器-cargo-0,Activity_combine_inner,内层合并,task_arrive
1.00,1,发生器-cargo-1,Event_start,发生器,entity_generated
1.00,1,发生器-cargo-1,Activity_combine_inner,内层合并,task_arrive
1.00,2,内层合并-pallet-0,Activity_combine_inner,内层合并,task_start
1.00,2,内层合并-pallet-0,Activity_combine_inner,内层合并,task_finish
1.00,2,内层合并-pallet-0,Activity_combine_outer,外层合并,task_arrive
2.00,3,发生器-cargo-2,Event_start,发生器,entity_generated
2.00,3,发生器-cargo-2,Activity_combine_inner,内层合并,task_arrive
3.00,4,发生器-cargo-3,Event_start,发生器,entity_generated
3.00,4,发生器-cargo-3,Activity_combine_inner,内层合并,task_arrive
3.00,5,内层合并-pallet-1,Activity_combine_inner,内层合并,task_start
3.00,5,内层合并-pallet-1,Activity_combine_inner,内层合并,task_finish
3.00,5,内层合并-pallet-1,Activity_combine_outer,外层合并,task_arrive
3.00,6,外层合并-truck-0,Activity_combine_outer,外层合并,task_start
3.00,6,外层合并-truck-0,Activity_combine_outer,外层合并,task_finish
3.00,6,外层合并-truck-0,Activity_restore_outer,外层还原,task_arrive
3.00,6,外层合并-truck-0,Activity_restore_outer,外层还原,task_start
3.00,6,外层合并-truck-0,Activity_restore_outer,外层还原,task_finish
3.00,2,内层合并-pallet-0,Activity_restore_inner,内层还原,task_arrive
3.00,2,内层合并-pallet-0,Activity_restore_inner,内层还原,task_start
3.00,5,内层合并-pallet-1,Activity_restore_inner,内层还原,task_arrive
3.00,5,内层合并-pallet-1,Activity_restore_inner,内层还原,task_start
3.00,2,内层合并-pallet-0,Activity_restore_inner,内层还原,task_finish
3.00,0,发生器-cargo-0,Event_end,终点,entity_exit
3.00,1,发生器-cargo-1,Event_end,终点,entity_exit
3.00,5,内层合并-pallet-1,Activity_restore_inner,内层还原,task_finish
3.00,3,发生器-cargo-2,Event_end,终点,entity_exit
3.00,4,发生器-cargo-3,Event_end,终点,entity_exit
