time,entity_id,entity_name,node_id,node_name,event_type
0.00,Event_start_customer_0,FIFO发生器-customer-0,Event_start,FIFO发生器,entity_generated
0.00,Event_start_customer_0,FIFO发生器-customer-0,Task_service,FIFO服务,task_arrive
0.00,Event_start_customer_0,FIFO发生器-customer-0,Task_service,FIFO服务,task_start
1.00,Event_start_customer_1,FIFO发生器-customer-1,Event_start,FIFO发生器,entity_generated
1.00,Event_start_customer_1,FIFO发生器-customer-1,Task_service,FIFO服务,task_arrive
1.00,Event_start_customer_1,FIFO发生器-customer-1,Task_service,FIFO服务,task_waiting_for_resources
2.00,Event_start_customer_2,FIFO发生器-customer-2,Event_start,FIFO发生器,entity_generated
2.00,Event_start_customer_2,FIFO发生器-customer-2,Task_service,FIFO服务,task_arrive
2.00,Event_start_customer_2,FIFO发生器-customer-2,Task_service,FIFO服务,task_waiting_for_resources
4.00,Event_start_customer_0,FIFO发生器-customer-0,Task_service,FIFO服务,task_finish
4.00,Event_start_customer_0,FIFO发生器-customer-0,Event_end,结束,entity_exit
4.00,Event_start_customer_1,FIFO发生器-customer-1,Task_service,FIFO服务,task_start
8.00,Event_start_customer_1,FIFO发生器-customer-1,Task_service,FIFO服务,task_finish
8.00,Event_start_customer_1,FIFO发生器-customer-1,Event_end,结束,entity_exit
8.00,Event_start_customer_2,FIFO发生器-customer-2,Task_service,FIFO服务,task_start
12.00,Event_start_customer_2,FIFO发生器-customer-2,Task_service,FIFO服务,task_finish
12.00,Event_start_customer_2,FIFO发生器-customer-2,Event_end,结束,entity_exit
